station,haul,skate,skate_id,reason
Exp_Set1,98,91,Exp_Set1_98_91,trap door open
Exp_Set1,98,92,Exp_Set1_98_92,trap door open
Exp_Set1,98,93,Exp_Set1_98_93,trap door open
Exp_Set1,98,94,Exp_Set1_98_94,trap door open
Exp_Set1,98,141,Exp_Set1_98_141,trap door open
Exp_Set3,108,117,Exp_Set3_108_117,trap door open
