Station,Gear,Large pots,Small pots,Set Order (shallow to deep)
Exp_Set1,Slinky pots,10,77,"5 large, 77 small, 5 large"
Exp_Set2,Slinky pots,11,79,"5 large, 79 small, 6 large"
Exp_Set3,Slinky pots,11,80,"5 large, 80 small, 6 large"
