Station,Gear,N,Proportion female,Mean (SE) fork length (cm)
Exp_Set1,Hook-and-line,"1,174",0.46,60.6 (0.25)
Exp_Set1,Slinky pots,490,0.58,60.4 (0.31)
Exp_Set2,Hook-and-line,"1,185",0.40,63.1 (0.20)
Exp_Set2,Slinky pots,802,0.57,61.5 (0.24)
Exp_Set3,Hook-and-line,"1,306",0.36,60.5 (0.22)
Exp_Set3,Slinky pots,937,0.52,61.7 (0.24)
