station,gear,skate_or_pot_unique_id,skate_or_pot_number,n_sablefish,detailed_gear
Exp_Set1,HAL,Exp_Set1_97_89,89,3,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_9,9,16,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_90,90,5,Hook-and-line
Exp_Set1,POT,Exp_Set1_98_100,100,0,Small pots
Exp_Set1,POT,Exp_Set1_98_101,101,0,Small pots
Exp_Set1,POT,Exp_Set1_98_102,102,1,Small pots
Exp_Set1,POT,Exp_Set1_98_103,103,2,Small pots
Exp_Set1,POT,Exp_Set1_98_104,104,0,Small pots
Exp_Set1,POT,Exp_Set1_98_105,105,1,Small pots
Exp_Set1,POT,Exp_Set1_98_106,106,0,Small pots
Exp_Set1,POT,Exp_Set1_98_107,107,2,Small pots
Exp_Set1,POT,Exp_Set1_98_108,108,1,Small pots
Exp_Set1,POT,Exp_Set1_98_109,109,0,Small pots
Exp_Set1,POT,Exp_Set1_98_110,110,0,Small pots
Exp_Set1,POT,Exp_Set1_98_111,111,1,Small pots
Exp_Set1,POT,Exp_Set1_98_112,112,1,Small pots
Exp_Set1,POT,Exp_Set1_98_113,113,5,Small pots
Exp_Set1,POT,Exp_Set1_98_114,114,3,Small pots
Exp_Set1,POT,Exp_Set1_98_115,115,2,Small pots
Exp_Set1,POT,Exp_Set1_98_116,116,4,Small pots
Exp_Set1,POT,Exp_Set1_98_117,117,0,Small pots
Exp_Set1,POT,Exp_Set1_98_118,118,1,Small pots
Exp_Set1,POT,Exp_Set1_98_119,119,0,Small pots
Exp_Set1,POT,Exp_Set1_98_120,120,1,Small pots
Exp_Set1,POT,Exp_Set1_98_121,121,3,Small pots
Exp_Set1,POT,Exp_Set1_98_122,122,2,Small pots
Exp_Set1,POT,Exp_Set1_98_123,123,0,Small pots
Exp_Set1,POT,Exp_Set1_98_124,124,7,Small pots
Exp_Set1,POT,Exp_Set1_98_125,125,5,Small pots
Exp_Set1,POT,Exp_Set1_98_126,126,5,Small pots
Exp_Set1,POT,Exp_Set1_98_127,127,0,Small pots
Exp_Set1,POT,Exp_Set1_98_128,128,8,Small pots
Exp_Set1,POT,Exp_Set1_98_129,129,10,Small pots
Exp_Set1,POT,Exp_Set1_98_130,130,3,Small pots
Exp_Set1,POT,Exp_Set1_98_131,131,6,Small pots
Exp_Set1,POT,Exp_Set1_98_132,132,10,Small pots
Exp_Set1,POT,Exp_Set1_98_133,133,4,Small pots
Exp_Set1,POT,Exp_Set1_98_134,134,12,Small pots
Exp_Set1,POT,Exp_Set1_98_135,135,10,Small pots
Exp_Set1,POT,Exp_Set1_98_136,136,10,Small pots
