skate_id,station,gear,skate,n_sablefish,haul,depth,interp_depth
Day 1_103_11,Day 1,Hooks,11,26,103,650,650
Day 1_103_2,Day 1,Hooks,2,8,103,650,668.6
Day 1_103_3,Day 1,Hooks,3,14,103,650,667.4
Day 1_103_4,Day 1,Hooks,4,9,103,650,666.2
Day 1_103_5,Day 1,Hooks,5,8,103,650,665
Day 1_103_5,Day 1,Hooks,5,8,103,650,663
Day 1_103_6,Day 1,Hooks,6,20,103,650,661
Day 1_103_7,Day 1,Hooks,7,15,103,650,659
Day 1_103_8,Day 1,Hooks,8,17,103,650,657
Day 1_103_9,Day 1,Hooks,9,27,103,650,655
Day 1_104_91,Day 1,Slinky pots,91,7,104,550,569
Day 1_104_91,Day 1,Slinky pots,91,7,104,550,569.5
Day 1_104_92,Day 1,Slinky pots,92,13,104,550,570
Day 1_104_92,Day 1,Slinky pots,92,13,104,550,570
Day 1_104_93,Day 1,Slinky pots,93,15,104,550,570
Day 1_104_93,Day 1,Slinky pots,93,15,104,550,571
Day 1_104_94,Day 1,Slinky pots,94,13,104,550,572
Day 1_104_94,Day 1,Slinky pots,94,13,104,550,572
Day 1_104_95,Day 1,Slinky pots,95,4,104,550,572
Day 1_104_95,Day 1,Slinky pots,95,4,104,550,572
Day 1_104_96,Day 1,Slinky pots,96,2,104,550,572
Day 1_104_96,Day 1,Slinky pots,96,2,104,550,573
Day 1_104_97,Day 1,Slinky pots,97,11,104,550,574
Day 1_104_100,Day 1,Slinky pots,100,0,104,575,579
Day 1_104_101,Day 1,Slinky pots,101,13,104,575,582
Day 1_104_101,Day 1,Slinky pots,101,13,104,575,581.5
Day 1_104_102,Day 1,Slinky pots,102,8,104,575,581
Day 1_104_102,Day 1,Slinky pots,102,8,104,575,581.5
Day 1_104_103,Day 1,Slinky pots,103,8,104,575,582
Day 1_104_103,Day 1,Slinky pots,103,8,104,575,582.5
Day 1_104_104,Day 1,Slinky pots,104,3,104,575,583
Day 1_104_104,Day 1,Slinky pots,104,3,104,575,583.5
Day 1_104_105,Day 1,Slinky pots,105,6,104,575,584
Day 1_104_105,Day 1,Slinky pots,105,6,104,575,585.5
Day 1_104_106,Day 1,Slinky pots,106,8,104,575,587
Day 1_104_106,Day 1,Slinky pots,106,8,104,575,587
Day 1_104_107,Day 1,Slinky pots,107,11,104,575,587
Day 1_104_107,Day 1,Slinky pots,107,11,104,575,588
Day 1_104_108,Day 1,Slinky pots,108,2,104,575,589
Day 1_104_108,Day 1,Slinky pots,108,2,104,575,589
Day 1_104_109,Day 1,Slinky pots,109,5,104,575,589
Day 1_104_109,Day 1,Slinky pots,109,5,104,575,590.5
Day 1_104_110,Day 1,Slinky pots,110,4,104,575,592
Day 1_104_110,Day 1,Slinky pots,110,4,104,575,592.5
Day 1_104_111,Day 1,Slinky pots,111,4,104,575,593
Day 1_104_111,Day 1,Slinky pots,111,4,104,575,593.5
Day 1_104_112,Day 1,Slinky pots,112,14,104,575,594
Day 1_104_112,Day 1,Slinky pots,112,14,104,575,595
Day 1_104_113,Day 1,Slinky pots,113,7,104,575,596
Day 1_104_113,Day 1,Slinky pots,113,7,104,575,597
Day 1_104_114,Day 1,Slinky pots,114,0,104,575,598
Day 1_104_115,Day 1,Slinky pots,115,5,104,575,599
Day 1_104_115,Day 1,Slinky pots,115,5,104,575,599.5
Day 1_104_97,Day 1,Slinky pots,97,11,104,575,575
Day 1_104_98,Day 1,Slinky pots,98,11,104,575,576
Day 1_104_98,Day 1,Slinky pots,98,11,104,575,577
Day 1_104_99,Day 1,Slinky pots,99,5,104,575,578
Day 1_104_99,Day 1,Slinky pots,99,5,104,575,578.5
Day 1_104_116,Day 1,Slinky pots,116,18,104,600,600
Day 1_104_116,Day 1,Slinky pots,116,18,104,600,601
Day 1_104_118,Day 1,Slinky pots,118,14,104,600,602
Day 1_104_118,Day 1,Slinky pots,118,14,104,600,604
Day 1_104_119,Day 1,Slinky pots,119,5,104,600,606
Day 1_104_119,Day 1,Slinky pots,119,5,104,600,606
Day 1_104_120,Day 1,Slinky pots,120,14,104,600,606
Day 1_104_120,Day 1,Slinky pots,120,14,104,600,606
Day 1_104_121,Day 1,Slinky pots,121,21,104,600,606
Day 1_104_121,Day 1,Slinky pots,121,21,104,600,606.5
Day 1_104_122,Day 1,Slinky pots,122,6,104,600,607
Day 1_104_122,Day 1,Slinky pots,122,6,104,600,607
Day 1_104_123,Day 1,Slinky pots,123,12,104,600,607
Day 1_104_123,Day 1,Slinky pots,123,12,104,600,607
Day 1_104_124,Day 1,Slinky pots,124,9,104,600,607
Day 1_104_124,Day 1,Slinky pots,124,9,104,600,608
Day 1_104_125,Day 1,Slinky pots,125,10,104,600,609
Day 1_104_125,Day 1,Slinky pots,125,10,104,600,610
Day 1_104_126,Day 1,Slinky pots,126,7,104,600,611
Day 1_104_126,Day 1,Slinky pots,126,7,104,600,611.5
Day 1_104_127,Day 1,Slinky pots,127,9,104,600,612
Day 1_104_127,Day 1,Slinky pots,127,9,104,600,613.5
Day 1_104_128,Day 1,Slinky pots,128,17,104,600,615
Day 1_104_128,Day 1,Slinky pots,128,17,104,600,616
Day 1_104_129,Day 1,Slinky pots,129,10,104,600,617
Day 1_104_129,Day 1,Slinky pots,129,10,104,600,618
Day 1_104_130,Day 1,Slinky pots,130,15,104,600,619
Day 1_104_130,Day 1,Slinky pots,130,15,104,600,619.5
Day 1_104_131,Day 1,Slinky pots,131,7,104,600,620
Day 1_104_131,Day 1,Slinky pots,131,7,104,600,620.5
Day 1_104_132,Day 1,Slinky pots,132,3,104,600,621
Day 1_104_132,Day 1,Slinky pots,132,3,104,600,621.5
Day 1_104_133,Day 1,Slinky pots,133,7,104,600,622
Day 1_104_133,Day 1,Slinky pots,133,7,104,600,623
Day 1_104_134,Day 1,Slinky pots,134,8,104,600,624
Day 1_104_134,Day 1,Slinky pots,134,8,104,600,624
Day 1_104_135,Day 1,Slinky pots,135,10,104,600,624
Day 1_104_135,Day 1,Slinky pots,135,10,104,600,623.5
Day 1_104_136,Day 1,Slinky pots,136,13,104,600,623
Day 1_104_136,Day 1,Slinky pots,136,13,104,600,624.5
Day 1_104_137,Day 1,Slinky pots,137,11,104,625,626
Day 1_104_137,Day 1,Slinky pots,137,11,104,625,627
Day 1_104_138,Day 1,Slinky pots,138,11,104,625,628
Day 1_104_138,Day 1,Slinky pots,138,11,104,625,629
Day 1_104_139,Day 1,Slinky pots,139,5,104,625,630
Day 1_104_139,Day 1,Slinky pots,139,5,104,625,630.5
Day 1_104_140,Day 1,Slinky pots,140,11,104,625,631
Day 1_104_140,Day 1,Slinky pots,140,11,104,625,631.5
Day 1_104_141,Day 1,Slinky pots,141,8,104,625,632
Day 1_104_141,Day 1,Slinky pots,141,8,104,625,633.5
Day 1_104_142,Day 1,Slinky pots,142,19,104,625,635
Day 1_104_142,Day 1,Slinky pots,142,19,104,625,635
Day 1_104_143,Day 1,Slinky pots,143,6,104,625,635
Day 1_104_143,Day 1,Slinky pots,143,6,104,625,636
Day 1_104_144,Day 1,Slinky pots,144,12,104,625,637
Day 1_104_144,Day 1,Slinky pots,144,12,104,625,637
Day 1_104_145,Day 1,Slinky pots,145,17,104,625,637
Day 1_104_145,Day 1,Slinky pots,145,17,104,625,637
Day 1_104_146,Day 1,Slinky pots,146,15,104,625,637
Day 1_104_146,Day 1,Slinky pots,146,15,104,625,637.5
Day 1_104_147,Day 1,Slinky pots,147,4,104,625,638
Day 1_104_147,Day 1,Slinky pots,147,4,104,625,639.5
Day 1_104_148,Day 1,Slinky pots,148,3,104,625,641
Day 1_104_148,Day 1,Slinky pots,148,3,104,625,641
Day 1_104_149,Day 1,Slinky pots,149,9,104,625,641
Day 1_104_149,Day 1,Slinky pots,149,9,104,625,642.5
Day 1_104_150,Day 1,Slinky pots,150,10,104,625,644
Day 1_104_150,Day 1,Slinky pots,150,10,104,625,645
Day 1_104_151,Day 1,Slinky pots,151,13,104,625,646
Day 1_104_151,Day 1,Slinky pots,151,13,104,625,646
Day 1_104_152,Day 1,Slinky pots,152,5,104,625,646
Day 1_104_152,Day 1,Slinky pots,152,5,104,625,646
Day 1_104_153,Day 1,Slinky pots,153,5,104,625,646
Day 1_104_153,Day 1,Slinky pots,153,5,104,625,647
Day 1_104_154,Day 1,Slinky pots,154,15,104,625,648
Day 1_104_154,Day 1,Slinky pots,154,15,104,625,648
Day 1_104_155,Day 1,Slinky pots,155,13,104,625,648
Day 1_104_155,Day 1,Slinky pots,155,13,104,625,648
Day 1_104_156,Day 1,Slinky pots,156,8,104,625,648
Day 1_104_156,Day 1,Slinky pots,156,8,104,625,647.5
Day 1_104_157,Day 1,Slinky pots,157,6,104,625,647
Day 1_104_157,Day 1,Slinky pots,157,6,104,625,647.5
Day 1_104_158,Day 1,Slinky pots,158,9,104,625,648
Day 1_104_158,Day 1,Slinky pots,158,9,104,625,648
Day 1_104_159,Day 1,Slinky pots,159,2,104,625,648
Day 1_104_159,Day 1,Slinky pots,159,2,104,625,646
Day 1_104_160,Day 1,Slinky pots,160,6,104,625,644
Day 1_104_160,Day 1,Slinky pots,160,6,104,625,642.5
Day 1_104_161,Day 1,Slinky pots,161,1,104,625,641
Day 1_104_162,Day 1,Slinky pots,162,10,104,625,644
Day 1_104_162,Day 1,Slinky pots,162,10,104,625,644
Day 1_104_163,Day 1,Slinky pots,163,4,104,625,644
Day 1_104_163,Day 1,Slinky pots,163,4,104,625,643.5
Day 1_104_164,Day 1,Slinky pots,164,15,104,625,643
Day 1_104_164,Day 1,Slinky pots,164,15,104,625,644.5
Day 1_104_165,Day 1,Slinky pots,165,8,104,625,646
Day 1_104_165,Day 1,Slinky pots,165,8,104,625,647
Day 1_104_166,Day 1,Slinky pots,166,9,104,625,648
Day 1_104_166,Day 1,Slinky pots,166,9,104,625,648
Day 1_104_167,Day 1,Slinky pots,167,4,104,625,648
Day 1_104_167,Day 1,Slinky pots,167,4,104,625,647
Day 1_104_168,Day 1,Slinky pots,168,7,104,625,646
Day 1_104_168,Day 1,Slinky pots,168,7,104,625,645
Day 1_104_169,Day 1,Slinky pots,169,4,104,625,644
Day 1_104_169,Day 1,Slinky pots,169,4,104,625,644.5
Day 1_104_170,Day 1,Slinky pots,170,7,104,625,645
Day 1_104_170,Day 1,Slinky pots,170,7,104,625,644.5
Day 1_104_171,Day 1,Slinky pots,171,3,104,625,644
Day 1_104_171,Day 1,Slinky pots,171,3,104,625,645
Day 1_104_172,Day 1,Slinky pots,172,2,104,625,646
Day 1_104_172,Day 1,Slinky pots,172,2,104,625,645
Day 1_104_173,Day 1,Slinky pots,173,8,104,625,644
Day 1_104_173,Day 1,Slinky pots,173,8,104,625,645
Day 1_104_174,Day 1,Slinky pots,174,5,104,625,646
