Station,Gear,N,Proportion female,Mean (SE) fork length (cm)
Day 1,Hooks,"1,337",0.36,61.6 (0.17)
Day 1,Slinky pots,"1,003",0.41,60.3 (0.19)
Day 2,Hooks,"1,288",0.38,60.4 (0.19)
Day 2,Slinky pots,"1,166",0.41,60.6 (0.16)
Day 3,Hooks,"1,451",0.29,59.7 (0.16)
Day 3,Slinky pots,"1,040",0.46,60.7 (0.18)
