date,station,haul,gear,set_start_time,set_end_time,set_latitude,set_longitude,haul_start_time,haul_end_time,haul_start_depth_m,haul_end_depth_m,soak_time_minutes
7/27/2023,201,103,HAL,6:30,7:15,5933.79,14255.19,9:30,12:24,672,580,180
7/27/2023,201,104,POT,5:00,6:15,5924.48,14251.51,13:42,17:35,568,676,522
7/28/2023,202,105,HAL,6:15,7:02,5932.64,14303.84,9:40,12:30,598,524,205
7/28/2023,202,106,POT,4:56,5:58,5932.88,14200,13:38,17:24,532,622,514
7/29/2023,203,107,HAL,6:24,7:06,5931.6,14317.26,9:36,12:45,634,466,
7/29/2023,203,108,POT,5:00,6:00,5931.41,14314.31,13:55,17:54,524,650,
