Haul ID,Line,Time,Depth,Skate,Species,Depredation
b7e23862-581a-408b-b4f8-c6cb16071507,1,9:35:38 AM,671,1,2,0
b7e23862-581a-408b-b4f8-c6cb16071507,2,9:52:31 AM,0,1,2,0
b7e23862-581a-408b-b4f8-c6cb16071507,3,9:52:33 AM,0,1,1,0
b7e23862-581a-408b-b4f8-c6cb16071507,4,9:52:43 AM,0,1,2,0
b7e23862-581a-408b-b4f8-c6cb16071507,5,9:52:51 AM,0,1,2,0
b7e23862-581a-408b-b4f8-c6cb16071507,6,9:53:30 AM,0,1,2,0
b7e23862-581a-408b-b4f8-c6cb16071507,7,9:53:40 AM,0,1,2,0
b7e23862-581a-408b-b4f8-c6cb16071507,8,9:53:57 AM,0,1,2,0
b7e23862-581a-408b-b4f8-c6cb16071507,9,9:53:59 AM,0,1,2,0
b7e23862-581a-408b-b4f8-c6cb16071507,10,9:53:59 AM,0,1,2,0
b7e23862-581a-408b-b4f8-c6cb16071507,11,9:54:01 AM,0,1,2,0
b7e23862-581a-408b-b4f8-c6cb16071507,12,9:54:26 AM,0,1,1,0
b7e23862-581a-408b-b4f8-c6cb16071507,13,9:55:48 AM,0,1,1,0
b7e23862-581a-408b-b4f8-c6cb16071507,14,9:55:49 AM,0,1,2,0
b7e23862-581a-408b-b4f8-c6cb16071507,15,9:55:50 AM,0,1,2,0
b7e23862-581a-408b-b4f8-c6cb16071507,16,9:56:01 AM,0,1,2,0
b7e23862-581a-408b-b4f8-c6cb16071507,17,9:56:02 AM,0,1,2,0
b7e23862-581a-408b-b4f8-c6cb16071507,18,9:56:04 AM,0,1,2,0
b7e23862-581a-408b-b4f8-c6cb16071507,19,9:56:06 AM,0,1,2,0
b7e23862-581a-408b-b4f8-c6cb16071507,20,9:56:08 AM,0,1,2,0
b7e23862-581a-408b-b4f8-c6cb16071507,21,9:56:08 AM,0,1,2,0
b7e23862-581a-408b-b4f8-c6cb16071507,22,9:56:10 AM,0,1,2,0
b7e23862-581a-408b-b4f8-c6cb16071507,23,9:56:11 AM,0,1,2,0
b7e23862-581a-408b-b4f8-c6cb16071507,24,9:56:11 AM,0,1,1,0
b7e23862-581a-408b-b4f8-c6cb16071507,25,9:56:15 AM,0,1,1,0
b7e23862-581a-408b-b4f8-c6cb16071507,26,9:56:17 AM,0,1,2,0
b7e23862-581a-408b-b4f8-c6cb16071507,27,9:56:20 AM,0,1,2,0
b7e23862-581a-408b-b4f8-c6cb16071507,28,9:56:22 AM,0,2,3,0
b7e23862-581a-408b-b4f8-c6cb16071507,29,9:56:34 AM,0,2,3,0
