Haul ID,Line,Time,Depth,Skate,Species,Depredation
882577cd-0cfe-4a77-a7ed-792eb5925ed5,1,1:39:56 PM,569,91,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,2,1:51:57 PM,0,91,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,3,1:51:58 PM,0,91,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,4,1:51:58 PM,0,91,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,5,1:52:01 PM,0,91,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,6,1:52:02 PM,0,91,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,7,1:52:03 PM,0,91,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,8,1:52:06 PM,570,92,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,9,1:52:44 PM,0,92,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,10,1:52:45 PM,0,92,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,11,1:52:46 PM,0,92,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,12,1:52:47 PM,0,92,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,13,1:52:49 PM,0,92,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,14,1:52:50 PM,0,92,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,15,1:52:51 PM,0,92,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,16,1:52:52 PM,0,92,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,17,1:52:54 PM,0,92,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,18,1:52:56 PM,0,92,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,19,1:52:57 PM,0,92,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,20,1:53:00 PM,0,92,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,21,1:53:14 PM,570,93,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,22,1:54:41 PM,0,93,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,23,1:54:42 PM,0,93,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,24,1:54:43 PM,0,93,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,25,1:54:44 PM,0,93,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,26,1:54:44 PM,0,93,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,27,1:54:45 PM,0,93,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,28,1:54:46 PM,0,93,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,29,1:54:47 PM,0,93,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,30,1:54:48 PM,0,93,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,31,1:54:49 PM,0,93,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,32,1:54:50 PM,0,93,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,33,1:54:52 PM,0,93,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,34,1:54:53 PM,0,93,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,35,1:54:56 PM,0,93,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,36,1:56:41 PM,572,94,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,37,1:56:41 PM,0,94,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,38,1:56:42 PM,0,94,3,0
882577cd-0cfe-4a77-a7ed-792eb5925ed5,39,1:56:43 PM,0,94,3,0
