species_code2,species
1,Sablefish
2,Pacific cod
3,Giant Grenadier
4,Pacific Grenadier
5,Arrowtooth Flounder
6,Rougheye Rockfish
7,Shortraker Rockfish
8,Spiny Dogfish
9,Rosethorn Rockfish
10,Yelloweye Rockfish
11,Redbanded Rockfish
12,Shortspine Thornyhead
13,Greenland Turbot
15,Dusky Rockfish
