gear,station,haul,stratum,species_code2,length,flag,pot_size
POT,203,108,5,1,F059,0,Large
POT,203,108,5,1,F056,0,Large
POT,203,108,5,1,F059,0,Large
POT,203,108,5,1,M058,0,Large
POT,203,108,5,1,F072,0,Large
POT,203,108,5,1,M063,0,Large
POT,203,108,5,1,M046,0,Large
POT,203,108,5,1,F056,0,Large
POT,203,108,5,1,M045,0,Large
POT,203,108,5,1,M049,0,Large
POT,203,108,5,1,F065,0,Large
POT,203,108,5,1,M057,0,Large
POT,203,108,5,1,F063,0,Large
POT,203,108,5,1,F057,0,Large
POT,203,108,5,1,M060,0,Large
POT,203,108,5,1,F065,0,Large
POT,203,108,5,1,F061,0,Large
POT,203,108,5,3,F026,0,Large
POT,203,108,5,1,M060,0,Large
POT,203,108,5,1,F057,0,Large
POT,203,108,5,1,F073,0,Large
POT,203,108,5,1,F063,0,Large
POT,203,108,5,1,M058,0,Large
POT,203,108,5,1,M046,0,Large
POT,203,108,5,1,M061,0,Large
POT,203,108,5,1,M058,0,Large
POT,203,108,5,1,F052,0,Large
POT,203,108,5,1,F054,0,Large
POT,203,108,5,1,M059,0,Large
POT,203,108,5,1,F061,0,Large
POT,203,108,5,1,F076,0,Large
POT,203,108,5,1,M053,0,Large
POT,203,108,5,1,F062,0,Large
POT,203,108,5,1,M065,0,Large
POT,203,108,5,1,F053,0,Large
POT,203,108,5,1,M059,0,Large
POT,203,108,5,1,M055,0,Large
POT,203,108,5,1,F053,0,Large
POT,203,108,5,1,F061,0,Large
POT,203,108,5,1,M058,0,Large
POT,203,108,5,1,M060,0,Large
POT,203,108,5,1,M058,0,Large
POT,203,108,5,1,F053,0,Large
POT,203,108,5,1,F066,0,Large
POT,203,108,5,1,M051,0,Large
POT,203,108,5,1,F055,0,Large
POT,203,108,5,1,F052,0,Large
POT,203,108,5,1,F056,0,Large
POT,203,108,5,1,F070,0,Large
POT,203,108,5,1,F066,0,Large
POT,203,108,5,1,M053,0,Large
POT,203,108,5,1,M057,0,Large
POT,203,108,5,1,F064,0,Large
POT,203,108,5,1,F054,0,Large
POT,203,108,5,1,F070,0,Large
POT,203,108,5,1,F056,0,Large
POT,203,108,5,1,M061,0,Large
POT,203,108,5,1,M047,0,Large
POT,203,108,5,1,F061,0,Large
POT,203,108,5,1,F065,0,Large
POT,203,108,5,1,F055,0,Large
POT,203,108,5,1,M060,0,Large
POT,203,108,5,1,M061,0,Large
POT,203,108,5,1,F053,0,Large
POT,203,108,5,1,M049,0,Large
POT,203,108,5,1,M048,0,Large
POT,203,108,5,1,F053,0,Large
POT,203,108,5,1,M051,0,Large
POT,203,108,5,1,F062,0,Large
POT,203,108,5,5,F056,0,Large
POT,203,108,5,1,F059,0,Large
POT,203,108,5,1,F062,0,Large
POT,203,108,5,1,M052,0,Large
POT,203,108,5,1,F056,0,Large
POT,203,108,5,1,F062,0,Large
POT,203,108,5,1,F070,1,Small
POT,203,108,5,1,M057,0,Small
POT,203,108,5,1,M056,0,Small
POT,203,108,5,1,F049,0,Small
POT,203,108,5,1,F072,0,Small
POT,203,108,5,1,F072,0,Small
POT,203,108,5,1,M064,0,Small
POT,203,108,5,1,M057,0,Small
POT,203,108,5,1,M055,0,Small
POT,203,108,5,1,F059,0,Small
POT,203,108,5,1,F066,0,Small
POT,203,108,5,1,M060,0,Small
POT,203,108,5,1,M062,0,Small
POT,203,108,5,1,M062,0,Small
POT,203,108,5,1,M058,0,Small
POT,203,108,5,1,F063,0,Small
POT,203,108,5,1,F058,0,Small
POT,203,108,5,1,F056,0,Small
POT,203,108,5,1,M063,0,Small
POT,203,108,5,1,F065,0,Small
POT,203,108,5,1,F063,0,Small
POT,203,108,5,1,M048,0,Small
POT,203,108,5,1,F069,0,Small
POT,203,108,5,1,F071,0,Small
POT,203,108,5,1,F070,0,Small
POT,203,108,5,1,M062,0,Small
POT,203,108,5,1,F065,0,Small
POT,203,108,5,1,F074,0,Small
POT,203,108,5,1,F066,0,Small
POT,203,108,5,1,M061,0,Small
POT,203,108,5,1,M059,0,Small
