species_code,species
1,Baited Hook
2,Ineffective Hook
3,Sablefish
5,Giant Grenadier
6,Pacific Halibut
7,Arrowtooth Flounder
8,Rougheye/Shortraker Rockfish
9,Shortspine Thornyhead
19,Big Skate
22,Brittle Starfish
29,Dover Sole
66,Tanneri Tanner Crab
72,Sea Whip
96,Lips or Jaws - Whale Depredation
177,Sea Cucumber
