Station,Gear,N,Proportion female,Mean (SE) fork length (cm)
Day 1,Hooks,"1,597",0.35,62.4 (0.16)
Day 1,Slinky pots,"1,334",0.40,61.5 (0.19)
Day 2,Hooks,"1,559",0.45,65.4 (0.18)
Day 2,Slinky pots,"1,448",0.35,60.8 (0.15)
Day 3,Hooks,"1,660",0.33,59.4 (0.17)
Day 3,Slinky pots,"1,414",0.43,60.7 (0.20)
